#HIP (Name), V (mag)
122,4.928
301,4.539
443,4.738
677,2.05
746,2.318
765,3.993
910,4.953
1366,4.625
1473,4.52
2072,3.965
2081,2.519
2484,4.33
3031,4.447
3092,3.419
3179,2.377
3245,4.707
3405,4.365
3414,4.976
3419,2.159
3455,4.882
3693,4.216
3821,3.52
4151,4.856
4422,4.732
4436,3.881
4463,4.502
4906,4.381
5364,3.585
5447,2.264
5542,4.355
5586,4.639
6411,4.989
6537,3.732
6686,2.694
6692,4.842
6813,4.879
6867,3.624
7083,4.051
7294,4.796
7513,4.159
7588,0.522
7607,3.732
8198,4.372
8497,4.698
8645,3.858
8796,3.476
8832,4.632
8833,4.719
8903,2.681
8928,4.792
9007,3.808
9153,4.805
9236,2.892
9480,4.533
9487,3.673
9598,3.95
9884,2.152
9977,4.804
10064,3.039
10602,3.535
10644,4.938
10670,4.009
11001,4.085
11484,4.273
11569,4.496
11783,4.788
12390,4.874
12394,4.101
12486,4.229
12623,4.962
12706,3.46
12777,4.161
12828,4.306
12843,4.522
13061,4.642
13147,4.567
13209,3.596
13254,4.262
13288,4.873
13531,4.02
13701,4.021
13847,2.898
14135,2.736
14146,4.113
14328,3.018
14382,4.882
14576,2.105
14632,4.117
14668,3.901
14838,4.459
14862,4.845
14879,3.975
15197,4.834
15382,4.969
15457,4.922
15474,3.92
15648,4.954
15900,3.711
16083,3.72
16245,4.756
16537,3.827
16852,4.359
16870,4.701
17351,4.722
17378,3.631
17440,3.963
17651,4.27
17678,3.452
17797,4.243
17874,4.27
18543,3.149
18907,3.903
19038,4.467
19515,4.97
19587,4.073
19747,3.981
19777,4.985
19780,3.438
19893,4.294
19921,4.556
19990,4.951
20042,3.536
20205,3.757
20455,3.868
20542,4.821
20635,4.225
20648,4.317
20711,4.32
20713,4.515
20885,3.947
20889,3.647
20894,3.429
21029,4.792
21248,4.613
21273,4.681
21281,3.248
21393,3.918
21402,4.269
21421,1.16
21589,4.285
21594,3.994
21683,4.692
21770,4.488
22449,3.241
22509,4.355
22701,4.406
22845,4.665
22957,4.211
23179,4.936
23362,4.89
23497,4.642
23595,4.706
23685,3.351
23693,4.77
23767,3.143
23835,4.988
23875,2.808
24244,4.447
24305,3.269
24340,4.851
24659,4.933
24727,4.687
24813,4.757
25247,4.244
25336,1.629
25428,1.67
25606,2.925
26366,4.198
26563,4.8
27072,3.65
27100,4.367
27288,3.557
27321,3.879
27483,4.621
27530,4.619
27628,3.242
27654,3.889
27673,4.098
27890,4.764
27913,4.466
27949,4.973
28103,3.751
28358,3.842
28360,1.904
28380,2.641
28614,4.15
28734,4.266
28910,4.674
29696,4.439
29807,4.478
29997,4.764
30060,4.449
30277,3.943
30343,3.086
30419,4.433
31592,4.07
32362,3.393
32607,3.276
32768,3.071
33018,3.62
33160,4.24
33202,4.735
33302,4.722
33449,4.449
33485,4.904
33694,4.699
34059,4.946
34481,3.876
34834,4.533
34899,4.881
34922,4.663
35350,3.593
35550,3.579
36046,3.901
36145,4.614
36188,2.878
36366,4.212
36377,3.438
36795,4.508
36917,4.628
36962,4.246
37265,4.939
37447,4.056
37504,4.068
37609,4.967
37629,4.374
37740,3.674
