# wavelength  intensity
3545.5969       1 
3554.3059       2 
3567.6560       1 
3606.5220       2 
3632.683        1 
3634.4609       1 
3649.832        1       
3729.3091        1 
3770.369        2       
3834.679        5       
3894.660        3  
3948.9780       40 
3979.3555        3 
4044.4180       50 
4054.526        4       
4158.591        542     
4164.1792       50  
4181.884        75      
4190.7129       150  
4198.3169       150  
4200.6738       400  
4251.185        26      
4259.362        148     
4266.286        67
4272.169        163
4277.5278       20   
4300.101        129
4333.5610       129  
4335.3379       50   
4345.168        45
4348.0630       30   
4363.795        3
4370.7520       5    
4379.6660       5    
4400.9849       5    
4426.0010       10   
4430.1919       5    
4474.7588       5    
4481.8101       5    
4510.733        78
4522.323        24
4545.0508       12     
4579.3491       7     
4589.8970       8     
4596.097        48
4609.5659       10    
4628.441        17
4642.1479       5    
4647.4932       5    
4657.8999       10    
4702.316        35
4726.8681       10    
4735.9048       12    
4752.9399       8    
4764.8638       12    
4768.6748      10    
4806.0190       20    
4836.6968       6    
4847.8091       10    
4867.8398       5    
4876.261        12 
4879.8618       12    
4887.8477       12    
4894.6909       7    
4933.2080       6    
4956.7500       7    
4965.0781       6    
5009.3330       4    
5017.1621       10   
5048.8130       6    
5054.1782       8    
5060.0791       10   
5062.0361       7   
5118.202        5  
5151.391        9
5162.285        23
5187.746        31
5221.271        17      
5252.7891       10   
5254.4712       5   
5317.7261       2    
5373.494        5       
5410.473        3       
5421.352        8       
5451.652        17      
5457.416        1       
5495.874        43      
5506.113        10      
5524.957        4       
5558.702        55      
5572.541        18      
5606.733        53      
5650.704        29      
5659.127        5   
5681.900        8   
5739.520        16      
5772.1162       8      
5802.080        8   
5834.263        10      
5860.310        13      
5882.624        20      
5888.584        42      
5912.085        47      
5928.8101       20     
5942.6665       7      
5987.302        9       
6013.678        6       
6025.150        7   
6032.127        170     
6043.223        67      
6052.723        13      
6059.373        33      
6098.803        12  
6105.635        19      
6145.441        18      
6155.239        12  
6170.1712       12      
6173.0944       12      
6212.5008       15      
6215.9359       12      
6248.406        3       
6296.872        13      
6307.657        24      
6364.894        4  
6369.575        9       
6384.717        33      
6416.307        164     
6466.553        6    
6538.112        13      
6604.853        24      
6660.6739       15      
6664.0480       15      
6677.282        434     
6752.834        331     
6766.612        18      
6827.249        7       
6871.289        316     
6879.582        14     
6888.1714       15      
6937.664        127     
6965.431        56184   
7030.251        319     
7067.218        25987   
7107.478        56      
7125.820        27      
7147.042        4072    
7158.839        25      
7206.980        83      
7272.936        20225
7311.716        53
7353.293        195
7372.118        942
7383.981        55575
7435.368        216
7471.164        133
7503.869        70525
7514.652        53650
7635.106        326550
7723.761        10000    
7724.2064       10000    
7948.176        30000 
8006.157        52000
8014.786        68875
8103.693        81525
8115.311        234975
8264.523        96075   
8384.724        184   
8408.210        5000  
8424.648        10000 
8521.442        2000  
8605.776        113     
8667.944        400   
8761.686        150     
8799.088        133     
9122.967        206693  
9194.639        365     
9224.499        32051   
9291.531        252     
9354.220        1815    
9657.786        41041
9784.503        3442
