# Wavelength Intensity
7726.7540 10
7835.1855 7
7841.2114 30
7842.1464 1
7929.2983 40
7939.1793 70
7945.3663 200
7946.3263 20
8026.26 2
8043.97 2
8078.29 1
8084.6806 200
8095.34 2
8120.7815 100
8131.1459 60
8138.6428 300
8250.9498 30
8261.6493 150
8268.3493 200
8269.3890 80
8302.6077 600
8303.8414 150
8368.0476 150
8378.6634 200
8379.9088 800
8419.4721 100
8420.7408 400
8465.6830 150
8486.7746 80
8497.6940 500
8547.0433 60
8573.7071 100
8585.2607 60
8593.6188 400
8637.0188 600
8637.6894 50
8649.4162 300
8656.7602 1500
8657.8998 400
8681.8765 500
8684.3057 500
8706.5022 200
8769.9437 15
8774.0652 400
8781.1436 150
8783.0323 1200
8784.4129 50
8786.1654 1000
8794.9195 30
8833.3321 50
8856.2979 700
8867.7405 100
8868.1895 500
8894.66 10
8898.12 2
8917.81 3
8921.9495 300
8929.85 2
8931.70 10
8943.95 6
8964.79 3
8971.00 2
8991.0240 200
9039.49 6
9049.3 1
9051.55 3
9054.88 6
9055.14 6
9075.53 8
9104.56 1
9106.03 3
9151.1825 600
9204.2844 600
9222.5885 400
9224.1108 200
9229.2223 200
9278.0649 100
9303.4048 600
9313.1386 150
9316.5282 300
9329.0659 600
9343.11 2
9355.82 3
9375.8796 200
9413.33 6
9414.90 4
9427.9647 500
9435.5956 40
9446.45 2
9446.45 2
9447.81 3
9447.81 3
9456.57 1
9456.57 1
9461.8045 300
9489.2843 500
9510.88 5
9536.7782 500
9550.0238 300
9576.60 2
9644.92 1
9668.0706 1000
9727.62 1
9790.93 2
9826.09 5
9840.15 20
9900.00 3
9901.74 2
9917.83 20
9921.27 4
9939.52 10
9939.52 10
9941.02 15
9941.02 15
9946.79 7
9947.84 2
9950.73 15
9950.73 15
9966.29 6
10008.31 20
10010.10 30
10011.35 4
10039.90 2
10041.70 2
10213.60 2
10227.43 2
10248.5156 7
10298.2390 80
10435.42 3
10565.3015 200
10623.5747 40
10676.77 2
10693.37 6
10761.23 2
10763.29 1
10783.53 6
10801.0008 150
10809.33 5
10811.11 7
10817.78 4
10822.85 5
10847.4477 200
10889.33 5
10891.46 8
11023.917 10
11046.99 15
11052.75 20
11063.849 2
11123.325 5
11137.55 4
11141.42 4
11146.0715 3000
11163.2684 15
11180.5884 3500
11296.0536 5
11301.5308 2
11306.9753 50
11307.6419 20
11332.7258 10
11336.7890 20
11369.7848 10
11393.5526 1600
11412.2580 1100
11525.9005 3000
11528.1746 1500
11539.5027 950
11604.7125 500
11617.2600 1200
11691.2011 300
11770.0132 2000
11792.2704 1500
11793.1162 500
11988.1924 1000
12069.6360 3000
12462.7976 800
12467.490 20
12490.1595 70
12490.1595 70
12574.362 10
12574.373 10
12577.167 10
12577.178 10
12580.827 5
12588.0578 250
12588.089 250
12590.8834 180
12598.4498 300
12607.6397 100
12607.645 100
12621.115 20
12621.1260 20
12643.681 120
12643.713 120
12643.7893 120
12646.113 150
12646.145 150
12646.2115 150
12654.4580 60
12661.818 120
12661.8268 120
12668.0830 25
12668.0830 25
12687.032 40
12692.6721 1000
12749.6838 120
12752.535 160
12752.5771 160
12756.250 10
12756.261 10
12759.162 13
12759.173 13
12773.0178 250
12890.6844 200
12915.5459 1100
13222.8558 700
14304.739 20
14346.084 18
14357.295 4
14503.889 4
14933.884 20
14935.260 20
14988.951 100
14990.407 100
15063.107 20
15078.291 40
15079.109 40
15088.026 20
15089.431 20
15144.238 50
15178.461 4
15193.878 70
15194.709 70
15195.079 70
15195.905 70
15196.737 70
15234.8758 800
15352.382 50
15374.281 30
15411.802 100
15413.268 100
15455.112 40
15455.447 40
15470.458 10
15503.722 20
15505.123 20
15608.466 30
16027.110 50
16027.141 50
16102.874 15
16351.388 20
16352.195 20
16409.724 80
16473.481 12
16479.242 40
16532.594 20
16611.546 60
16613.970 60
16638.597 25
16793.367 40
16793.696 40
16838.85 15
16866.245 20
17149.283 10
17166.6169 400
17186.420 150
17187.192 150
17189.015 150
17203.276 4
18034.580 15
18040.725 400
18088.144 1000
18088.184 1000
18215.3025 5
18226.075 350
18226.105 350
18231.969 250
18231.999 250
18252.446 10
18258.314 6
18258.357 6
18281.667 2500
18281.687 2500
18287.617 2000
18308.928 1200
18308.972 1200
18364.137 250
18364.177 250
18388.992 1200
18389.033 1200
18389.868 1200
18394.135 2000
18394.176 2000
18394.964 2000
18395.012 2000
18407.868 1000
18427.381 1200
18427.422 1200
18428.260 1200
18463.676 300
18463.717 300
18480.835 400
18596.622 900
18602.781 1600
18602.812 1600
18624.000 350
18624.045 350
18630.209 550
18630.254 550
18687.375 20
18942.727 15
19579.113 50
19582.480 170
19777.885
20355.793 120
20359.433
20570.735 20
21047.038 1200
21714.070 750
22253.442 300
22434.276 350
22472.930 130
22536.553 2250
22667.997 400
22693.965 50
23106.817 600
23266.649 1000
23379.377 1050
23571.793 850
23642.965 3500
23708.138 300
23714.102 1100
23715.630 1100
23957.953 1800
23962.995 600
23978.377 10
23984.709 1000
24093.535 50
24098.993 50
24105.157 200
24156.492 15
24162.55 15
24168.034 500
24225.546 40
24256.255 600
24371.696 1500
24378.269 800
24390.017 90
24454.536 400
24459.781 14
24466.077 700
24466.34 700
24471.609 25
24532.502 10
24783.251 350
24910.528 180
24935.703 550
24942.309 5
25006.639 30
25071.221 5
25168.572 250
25234.829 70
25235.19 70
25284.14 10
25400.134 50
25531.330 650
25861.968 35
