# wavelength  intensity 
3685.9          40
3693.49         40
3950.925	120
3967.541	200
4078.8207	100
4109.7093	60
4116.1151	80
4180.10         25     
4193.5296	150
4203.6945	50
4215.62         40     
4238.21         25     
4245.37         35     
4330.52         40     
4383.9092	100
4385.7693	70
4414.82         30     
4448.13         40     
4462.19         50     
4480.80         30     
4500.9772	500
4524.6805	400
4582.7474	300
4603.04         150    
4611.8896	100
4624.2757	1000
4671.226	2000
4690.9711	100
4697.02         300
4734.1524	600
4792.6192	150
4807.019	500
4829.709	400
4843.294	300
4862.47         30     
4876.49         50     
4916.51         500
4923.152	500
4972.70         90     
5028.28         200
5044.94         70     
5260.44         90     
5261.98         90     
5292.21         110     
5339.33         80     
5372.39         70     
5392.8          100
5419.14         120     
5438.97         50     
5532.78         120     
5552.387        40     
5716.1          50     
5751.0          40     
5823.89         300
5824.8          150
5875.02         100
5894.99         100
6111.95         40      
6163.66         70     
6178.3          150
6179.66         120
6182.42         300
6198.26         100
6261.21         30     
6286.01         100
6292.65         30     
6318.06         500
6469.7          300
6472.84         150
6487.76         120
6521.52         30     
6533.16         100
6543.36         35     
6554.18         40     
6595.56         100
6632.47         60     
6668.92         150
6728.01         200
6777.56         50     
6778.59         50     
6805.7          20     
6827.32         200
6846.61         100     
#6848.8          50     
6866.84         65     
6872.11         100
6882.16         300
6910.82         30     
6925.53         100
6935.61         25     
6976.18         100
6990.9          20     
7019.03         30     
7047.37         35     
7119.6          500
7244.86         40     
7257.91         40     
7284.3          120     
7316.27         70     
7321.45         70     
7336.48         50     
7355.57         30     
7386.0          100
7393.79         150
7400.40         40     
7424.04         30     
7441.94         20     
7450.99         20     
7471.99         50     
7492.22         30     
7501.12         30     
7559.77         40     
7584.68         200
7642.02         500
7643.91         100
7664.54         50     
7740.31         40     
7783.62         40     
7802.65         100
7881.32         100
7887.40         300
7967.34         500
8029.67         100
8057.26         200
8061.34         150
8101.98         100
8171.02         100
8206.34         700
8231.635	10000
8266.52         500
8280.116	7000
8346.82         2000
8409.19         2000
8576.01         200
8624.22         70     
8648.54         250
8692.2          100
8696.86         200
8739.39         300
8758.20         100
8819.41         5000
8862.32         300
8908.73         200
8930.83         200
8952.25         1000
8981.05         100
8987.57         200
9032.16         80     
9045.447	400
9096.11         70     
9162.652	500
9167.51         200     
9203.19         80     
9211.38         70     
9301.93         60     
9306.62         70     
9374.75         150     
9411.99         60     
9445.34         80
9513.377	200
9685.32         150
9718.16         100
9799.70	        200    
9923.19	        100    
