id,ra,dec,mjd,cmag,cerr,filter
169.42996,185.431155383634,-31.9953268802986,56371.3275383739,21.4331,0.0206513,g
169.42996,185.431146196886,-31.9953236127704,56371.3285625321,21.2316,0.0224732,r
169.42996,185.431139244943,-31.9953201372075,56371.3295818707,21.1491,0.0261919,i
169.42996,185.431141726053,-31.9953342694559,56371.3306097714,21.2379,0.0454293,z
169.42996,185.431144941045,-31.9953248104302,56371.3316331087,21.3467,0.0151122,g
169.42996,185.431147172138,-31.9953232757339,56371.3350505517,21.3131,0.0134005,g
169.42996,185.43114494777,-31.9953246678362,56371.3384736436,21.2958,0.0138033,g
169.42996,185.43114383723,-31.9953260699484,56371.3418992213,21.1722,0.0117441,r
169.42996,185.431141280471,-31.9953267363828,56371.3453175756,21.1797,0.0124457,r
169.42996,185.431143736113,-31.9953265653981,56371.3487559534,21.1669,0.0132481,r
169.42996,185.43114273356,-31.9953254051459,56371.3521782318,21.0722,0.0144,i
169.42996,185.431142790449,-31.9953256551936,56371.356360103,21.0444,0.013995,i
169.42996,185.431142948336,-31.9953246794697,56371.3605469954,21.0468,0.016128,i
169.42996,185.431142454072,-31.9953261242481,56371.3647313532,21.1467,0.023616,z
169.42996,185.431142155659,-31.9953217404459,56372.2465869258,21.2961,0.0159125,i
169.42996,185.431144813228,-31.9953196560525,56372.2507646424,21.3097,0.0204959,i
169.42996,185.431142113141,-31.9953214443823,56372.2549477476,21.2696,0.018555,i
169.42996,185.431141135554,-31.9953214663923,56372.2591469418,21.2642,0.0300006,z
169.42996,185.431143624828,-31.9953219700511,56372.2633281383,21.2792,0.0241659,z
169.42996,185.431144129878,-31.9953220636235,56372.2675140668,21.2882,0.029109,z
169.42996,185.43112969543,-31.9953202361829,56808.1127962079,21.6821,0.0396107,g
169.42996,185.431173002094,-31.9953115837626,56808.1148412563,21.6539,0.0394091,g
169.42996,185.431182839528,-31.9953157731531,56808.116876367,21.6334,0.0409032,g
169.42996,185.431150322254,-31.9953229922686,56808.1189353466,21.6377,0.0182877,g
169.42996,185.431147836476,-31.9953216110757,56808.1223651441,21.6413,0.0198951,g
