# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Tue Dec  7 07:50:58 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00015547 -2.00000 9.69897 0.0936335474 1.1156111956    0.094 -3.059  3.5119  5.467    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.64e-17      0.00 7.495e-01 2.504e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.417 19.195 15.303 13.345 12.347 11.804
0.00015547 -2.00000 9.69897 0.1001684964 1.1725124121    0.100 -2.856  3.5402  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-16      0.00 7.488e-01 2.510e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.911 17.590 14.323 12.561 11.807 11.366
0.00015547 -2.00000 9.69897 0.1035686582 1.2002434731    0.103 -2.757  3.5541  5.377    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-16      0.00 7.484e-01 2.514e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.661 16.855 13.850 12.203 11.536 11.142
0.00015547 -2.00000 9.69897 0.1234388798 1.3415665627    0.123 -2.482  3.5820  5.290    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.67e-16      0.00 7.471e-01 2.528e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 10.975 15.305 12.753 11.354 10.814 10.496
0.00015547 -2.00000 9.69897 0.1433091164 1.4560320377    0.143 -2.310  3.5955  5.238    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-16      0.00 7.461e-01 2.538e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.546 14.513 12.148 10.869 10.373 10.083
0.00015547 -2.00000 9.69897 0.1631793380 1.5515257120    0.163 -2.179  3.6043  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-16      0.00 7.453e-01 2.545e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.217 13.968 11.713 10.507 10.036 9.763
0.00015547 -2.00000 9.69897 0.2029198259 1.7036917210    0.203 -1.970  3.6162  5.132    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.12e-16      0.00 7.444e-01 2.554e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.695 13.170 11.055 9.941 9.504 9.252
0.00015547 -2.00000 9.69897 0.2525953948 1.8468695879    0.252 -1.769  3.6269  5.069    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.442e-01 2.557e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.193 12.437 10.439 9.402 8.993 8.760
0.00015547 -2.00000 9.69897 0.3022710085 1.9574397802    0.302 -1.611  3.6356  5.024    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-15      0.00 7.442e-01 2.557e-01 2.942e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 8.798 11.862 9.956 8.976 8.590 8.372
0.00015547 -2.00000 9.69897 0.3519465327 2.0465962887    0.352 -1.481  3.6435  4.992    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-15      0.00 7.445e-01 2.553e-01 2.941e-05 7.941e-06 7.201e-05 -1.000 1.636e-04 8.473 11.381 9.557 8.626 8.259 8.054
0.00015547 -2.00000 9.69897 0.4016221166 2.1207315922    0.401 -1.364  3.6520  4.966    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.82e-15      0.00 7.505e-01 2.493e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 8.181 10.929 9.190 8.307 7.961 7.770
0.00015547 -2.00000 9.69897 0.4512977004 2.1838121414    0.451 -1.221  3.6653  4.926    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 7.822 10.323 8.722 7.912 7.595 7.425
0.00015547 -2.00000 9.69897 0.5009732842 2.2384552956    0.501 -1.062  3.6813  4.877    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.6e-15      0.00 7.510e-01 2.488e-01 2.941e-05 7.934e-06 7.196e-05 -1.000 1.637e-04 7.426 9.643 8.208 7.479 7.197 7.051
0.00015547 -2.00000 9.69897 0.5506489277 2.2841949463    0.550 -0.889  3.6987  4.815    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.55e-15      0.00 7.650e-01 2.348e-01 2.784e-05 7.515e-06 6.816e-05 -1.000 1.636e-04 6.993 8.928 7.663 7.015 6.767 6.646
0.00015547 -2.00000 9.69897 0.6003244519 2.3213412762    0.600 -0.712  3.7202  4.762    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.703e-01 2.296e-01 2.728e-05 7.363e-06 6.681e-05 -1.000 1.522e-04 6.551 8.194 7.108 6.550 6.342 6.249
0.00015547 -2.00000 9.69897 0.6266980767 2.3383338451    0.626 -0.618  3.7331  4.737    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 7.740e-01 2.259e-01 2.689e-05 7.260e-06 6.588e-05 -1.000 1.439e-04 6.314 7.810 6.814 6.306 6.121 6.044
0.00015547 -2.00000 9.69897 0.6499999762 2.3520355225    0.650 -0.535  3.7443  4.715    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.776e-01 2.222e-01 2.651e-05 7.159e-06 6.497e-05 -1.000 1.252e-04 6.108 7.494 6.565 6.098 5.932 5.869
0.00015547 -2.00000 9.69897 0.6719781160 2.3639621735    0.672 -0.458  3.7549  4.695    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.820e-01 2.179e-01 2.606e-05 7.038e-06 6.388e-05 -1.000 9.993e-05 5.915 7.207 6.334 5.907 5.760 5.710
0.00015547 -2.00000 9.69897 0.6997755766 2.3778200150    0.700 -0.361  3.7678  4.668    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 7.883e-01 2.116e-01 2.541e-05 6.863e-06 6.231e-05 -1.000 1.312e-04 5.673 6.869 6.053 5.674 5.548 5.513
0.00015547 -2.00000 9.69897 0.6999999881 2.3779268265    0.700 -0.361  3.7679  4.667    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 7.884e-01 2.115e-01 2.540e-05 6.862e-06 6.230e-05 -1.000 1.320e-04 5.672 6.866 6.051 5.672 5.546 5.512
0.00015547 -2.00000 9.69897 0.7103268504 2.3827548027    0.710 -0.325  3.7725  4.657    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-14      0.00 7.917e-01 2.082e-01 2.499e-05 6.769e-06 6.148e-05 -1.000 1.556e-04 5.583 6.750 5.950 5.587 5.469 5.439
0.00015547 -2.00000 9.69897 0.7300235033 2.3915290833    0.730 -0.258  3.7810  4.635    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 7.987e-01 2.011e-01 2.414e-05 6.573e-06 5.976e-05 -1.000 1.277e-04 5.415 6.534 5.760 5.426 5.322 5.301
0.00015547 -2.00000 9.69897 0.7484642863 2.3992645741    0.748 -0.195  3.7887  4.614    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.56e-14      0.00 8.062e-01 1.937e-01 2.327e-05 6.367e-06 5.794e-05 -1.000 1.019e-04 5.258 6.342 5.583 5.277 5.185 5.174
0.00015547 -2.00000 9.69897 0.7500000000 2.3998889923    0.750 -0.190  3.7893  4.612    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.62e-14      0.00 8.068e-01 1.931e-01 2.319e-05 6.348e-06 5.778e-05 -1.000 1.000e-04 5.245 6.326 5.569 5.264 5.174 5.163
